path,alt
Algeria/IMG_1444.jpg,A man in an Algerian soccer jersey with sunglasses hanging from his neck takes a selfie outdoors on a sunny day.
Argentina/01_IMG_2651.jpg,Three smiling Argentina soccer fans hold a flag in a packed stadium overlooking the field.
Argentina/02_69260749447__549B6FB9-AC22-492D-ABEB-47E7A955EB45.jpg,A smiling bald man with a beard wears a blue and black Argentina soccer jersey outdoors.
Argentina/03_IMG_2450.jpg,An Argentinian soccer fan holds his country's flag in front of a brightly lit stadium at night.
Argentina/IMG_2434.jpg,"Three men, two in traditional Arab dress and one in an Argentina soccer jersey, pose outdoors at night in front of a building."
Australia/LM_042326_australia1.JPG,Australia fan media in Toronto.
Australia/LM_042326_australia2.JPG,Australia fan media in Toronto.
Australia/LM_042326_australia3.JPG,Australia fan media in Toronto.
Australia/LM_042326_australia4.JPG,"Close-up of a person wearing a yellow and green Australia soccer jacket with the team's emblem and ""AUSTRALIA"" embroidered."
Australia/LM_042326_australia5.JPG,"A smiling Australian soccer fan in a yellow and green jacket and ""KOALA LOVE"" hat sits at a table with a beer."
Australia/LM_042326_australia6.JPG,"A man in a yellow and green ""Olyroos 2022"" jacket and ""KOALA LOVER"" hat drinks a beer in a bar with vintage signs."
Australia/LM_042326_australia7.JPG,"Smiling Australian soccer fan in a green and gold jacket holds a sign that says ""Oi Oi Oi."
Australia/LM_042326_australia8.JPG,"An Australian soccer fan in a yellow and green jacket drinks a Coopers Pale Ale, with an ""Oi Oi Oi"" sign in the foreground."
Australia/LM_042326_australia9.JPG,"A person wearing a ""KOALA LOVER"" cap, likely an Australian soccer fan, looks down in an indoor setting."
Australia/LM_042326_australia10.JPG,Australia fan media in Toronto.
Austria/01_AM_Austrian fan - World Cup project_103.JPG,"A smiling man in an Austrian soccer jersey holds an Austrian flag in front of a building with ""Péché et Redemption"" on its facade."
Austria/AM_Austrian fan - World Cup project_101.JPG,"A man in an Austrian national soccer team jersey sits at a table in a pub with a beer, looking out the window."
Austria/AM_Austrian fan - World Cup project_102.JPG,A smiling man in an Austrian national soccer team jersey stands at a bar with a beer.
Austria/AM_Austrian fan - World Cup project_104.JPG,A man in an Austrian national soccer team jersey cuts into a schnitzel with a side salad and beer in a restaurant.
Austria/AM_Austrian fan - World Cup project_105.JPG,A smiling man in an Austrian soccer jersey holds an Austrian flag in front of a stone church.
Austria/AM_Austrian fan - World Cup project_106.JPG,"Two men, one in a soccer jersey, hold an Austrian flag with its national emblem in front of a stone building."
Belgium/sp-wcup-belgium.jpg,Three smiling Belgium soccer fans in red and black jerseys pose in a stadium with a game in progress.
Bosnia-and-Herzegovina/01_Bosnia_8.jpg,"Five smiling soccer fans, including a child, wear blue and yellow Bosnia and Herzegovina jerseys and hats in a dimly lit bar."
Bosnia-and-Herzegovina/02_Bosnia_1.jpg,"Two smiling Bosnian soccer fans, an adult and a child, stand in a car's sunroof, adorned with flags and scarves, in front of a house."
Bosnia-and-Herzegovina/03_Bosnia_7.jpg,"Bosnian soccer fans, including a child, pose with their national flag in a bar with multiple TVs showing a game."
Bosnia-and-Herzegovina/Bosnia_4.jpg,"Bosnian soccer fans celebrate on a city street, waving flags and holding a replica World Cup trophy amidst smoke."
Bosnia-and-Herzegovina/Bosnia_5.jpg,"Four Bosnian soccer fans, including two children, sit on a couch in a living room decorated with Bosnian flags, holding another flag."
Bosnia-and-Herzegovina/Bosnia_6.jpg,"Two Bosnian soccer fans hold a large flag, with yellow smoke billowing around them on a city street."
Bosnia-and-Herzegovina/Bosnia_9.jpg,"Four Bosnia and Herzegovina soccer fans, two holding a flag, gather in a living room with snacks and drinks."
Bosnia-and-Herzegovina/Bosnian-Canadian Association Emina Kapo.jpg,"A smiling woman in a blue hijab, glasses, and a cap with a fleur-de-lis watches a soccer match on TV, with a Bosnian flag visible."
Bosnia-and-Herzegovina/IMG_176734440900445.jpg,"Bosnian soccer fans celebrate in a city street, with one person setting off a flare, and others holding flags and wearing team jerseys."
Brazil/sp-wcup-brazil.jpg,"A man in a yellow and green Brazil soccer jersey and hat celebrates outdoors, clenching his fist."
Canada/2026-05-28 - Linksports - De Rosario and Monadjem1.JPG,"A man in a white t-shirt gestures in front of a Toronto cityscape with the CN Tower, wearing soccer-themed bracelets."
Canada/CPT111270808.JPG,A male Toronto FC soccer player in a red uniform dribbles a ball on a green field during a game.
Cape-Verde/LM_042126_soccer1.JPG,"A smiling man with curly hair and a beard, wearing a Cape Verde soccer jersey and holding a blue flag, stands by a goal on a green field."
Cape-Verde/LM_042126_soccer2.JPG,"A smiling man in a white soccer jersey with ""9"" and ""FCF"" holds up a Cape Verde flag on a green field."
Cape-Verde/LM_042126_soccer3.JPG,"A smiling man in a white soccer jersey with ""Cabo Verde"" and ""9"" holds a red, white, and blue flag on a soccer field."
